Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2020-11-02,300,249062.1451929999,262370.5061919999,52697.06430299997,1213.1002425,565342.8023639994
2020-11-03,300,251022.4373699998,263964.2078009996,52496.15374199998,1215.39809698,568698.2029989997
2020-11-04,300,254614.752965,269923.2052589998,52988.66457299997,1229.97523579,578756.6198709998
2020-11-05,300,256361.94874099968,274636.7638529998,55993.47311699999,1220.30670225,588212.4602569995
2020-11-06,300,252463.0765749999,260413.81745899998,52591.81081499999,1165.6220627699997,566634.3429719995
2020-11-07,300,228769.8216009999,228646.80182699987,47565.87168299998,1287.1118889,506269.5957869999
2020-11-08,300,227236.7056289999,221376.24991599997,48123.62269699997,1611.3898266599997,498347.9619179996
2020-11-09,300,254248.668403,252385.759292,49834.31168599996,1702.82077829,558171.5632629996
2020-11-10,300,259999.88641699968,257787.9310739998,49841.68349099998,1774.85524285,569404.3404919999
2020-11-11,300,256398.7286599998,251738.0357829997,49858.97597699995,1598.65474855,559594.4070009995
2020-11-12,300,256448.0210489999,252767.44481699978,49976.43263399995,1455.75019111,560647.6404539997
2020-11-13,300,264138.0272189998,251270.7145569997,49839.40530999995,1501.54575785,566749.6744279995
2020-11-14,300,235030.07250099978,230235.927398,46652.30170499999,1357.80899045,513276.0938979999
2020-11-15,300,228480.40865399997,222276.43542099997,45902.25616299996,1408.4227766,498067.4411479995
2020-11-16,300,244848.9936279998,253591.057722,51173.39149899999,1459.79694288,551073.2183439997
2020-11-17,300,259144.3693049999,252019.8627759998,50667.81494799994,1374.68932486,563206.7304929995
2020-11-18,300,253789.0504829994,252175.67602399978,49963.42607599997,1215.84894379,557143.9734819998
2020-11-19,300,252056.5434129997,254604.857755,50059.28797699997,1282.6082645699998,558003.3083779999
2020-11-20,300,257648.1464399998,255739.81058199998,49992.81145499996,1367.93122895,564748.6954299996
2020-11-21,300,240844.86455099977,235458.890786,48065.19208899997,1343.85555823,525712.8186579996
2020-11-22,300,235233.6191139998,227496.11224099988,47813.12788699998,1349.5056032,511892.3656859998
2020-11-23,300,254459.6057299996,258070.9200729997,51900.33391799998,1525.8686199099998,565956.7302589997
